asset_number,title,department,manufacturer,manufacturer_model_number,manufacturer_serial_number,vendor,vendor_catalog_number,purchase_order_number,portable,asset_description,intended_use,process_range,classification,new_SOP,new_logbooks,calibration_required,calibration_justification_no,calibration_description,calibration_frequency,maintenance_required,maintenance_justification_no,maintenance_description,maintenance_frequency,scan_attached,tier_level,qual_val_needed,validation_justification_no,validation_description,protocol_number,comments
1246,Matrix Impact 2 Pipette,,Matrix Technologies Corp.,N/A,123835,N/A,N/A,,Yes,Matrix Impact 2 Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1247,0.5-10 uL Pipette,,Biohit,N/A,8500414,N/A,N/A,,Yes,0.5-10 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1248,2-20 uL Pipette,,Biohit,N/A,8500897,N/A,N/A,,Yes,2-20 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1249,20-200 uL Pipette,,Biohit,N/A,7709702,N/A,N/A,,Yes,20-200 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1250,100-1000 uL Pipette,,Biohit,N/A,8501503,N/A,N/A,,Yes,100-1000 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1251,1-5 mL Pipette,BD,Biohit,N/A,9040258,VWR,53495-286,15318,Yes,1-5 mL Pipette,Assay development and GLP sample testing,1000µL to 5000µL,Other,No,No,Yes,n/a,1000 uL = +/- 0.7%; 2500 uL +/- 0.6%; 5000 uL = +/- 0.5%,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Level 4
1252,100-1000 uL Pipette,,VWR,100-1000 uL,842761481,VWR,89079-974,,Yes,100-1000 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1253,10-100 uL Pipette,,VWR,10-100 uL,842740498,VWR,89079-968,,Yes,10-100 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1254,20-200 uL Pipette,,VWR,20-200 uL,842751783,VWR,89079-970,,Yes,20-200 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1255,2-20 uL Pipette,,VWR,2-20 uL,842730128,VWR,89079-964,,Yes,2-20 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1256,Pipette,,VWR,VE200,942753633,VWR,89079-970,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1257,Pipette,,VWR,VE10,942722641,VWR,89079-962,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1258,Pipette,,VWR,VE20,942731547,VWR,89079-964,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1259,Pipette,,VWR,VE1000,942763844,VWR,89079-974,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1260,Pipette,,VWR,200 uL,635880063,VWR,83009-770,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1261,10-100 uL Pipette,,VWR,10-100 uL,542241871,VWR,89079-970,,Yes,10-100 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1262,20-200 uL Pipette,,VWR,20-200 uL,642252914,VWR,89079-970,,Yes,20-200 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1263,100-1000 uL Pipette,,VWR,100-1000 uL,642200241,VWR,89079-974,,Yes,100-1000 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1264,2-20 uL Pipette,,VWR,2-20 uL,542232376,VWR,89079-964,,Yes,2-20 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1265,Biohit M10 Pipette,AD,Biohit,M10,8529355,VWR,N/A,,Yes,Biohit M10 Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1266,100-1000 uL Pipette,,VWR,100-1000 uL,842763935,VWR,89079-964,,Yes,100-1000 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1267,20-200 uL Pipette,,VWR,20-200 uL,842751814,VWR,89079-970,,Yes,20-200 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1268,20-200 uL Pipette,,VWR,20-200 uL,842754018,VWR,89079-970,,Yes,20-200 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1269,100-1000 uL Pipette,,VWR,100-1000 uL,942762663,VWR,89079-974,,Yes,100-1000 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1270,2-20 uL Pipette,,VWR,2-20 uL,842731530,VWR,89079-964,,Yes,2-20 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1271,Multi-Channel Pipette,,Matrix Technologies Corp.,Matrix Impact 2,114612005,Accutek Lab,M12-12-850R,,Yes,Multi-Channel Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1272,Biohit Pipette,,Biohit,Proline Plus,8502275,VWR,89082-330,,Yes,Biohit Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1273,Biohit Pipette,,Biohit,Proline Plus,7709743,VWR,89082-330,,Yes,Biohit Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1274,Biohit Pipette,,Biohit,Proline Plus,8501364,VWR,89082-330,,Yes,Biohit Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1275,Biohit Pipette,,Biohit,Proline Plus,8500478,VWR,89082-330,,Yes,Biohit Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1276,P-100 Pipette,,Eppendorf,N/A,2787906,VWR,N/A,,Yes,P-100 Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1277,Pipette,,,,842780010,VWR,N/A,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1278,Pipette,,VWR,,842780011,VWR,N/A,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1279,2-20 uL Pipette,,VWR,2-20 uL,842730562,VWR,89079-964,,Yes,2-20 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1280,20-200 uL Pipette,,VWR,20-200 uL,842752709,VWR,89079-970,,Yes,20-200 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1281,0.2-2 uL Pipette,,VWR,0.2-2 uL,842710802,VWR,89079-960,,Yes,0.2-2 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1282,100-1000 uL Pipette,,VWR,100-1000 uL,842762539,VWR,89079-974,,Yes,100-1000 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1283,2-20 uL Pipette,,VWR,2-20 uL,842731917,VWR,89079-964,,Yes,2-20 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1284,100-1000 uL Pipette,,VWR,100-1000 uL,842762418,VWR,89079-974,,Yes,100-1000 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1285,20-200 uL Pipette,,VWR,20-200 uL,842753036,VWR,89079-970,,Yes,20-200 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1286,5-50 uL Pipette,,VWR,5-50 uL,853820078,VWR,89079-946,,Yes,5-50 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1287,0.5-10 uL Pipette,BD,Biohit,725020,9101312,VWR,47745-544,15693,Yes,0.5-10 uL Pipette,Development; Study samples,0.5µL to 10µL,Other,No,No,Yes,n/a,0.5 uL = +/- 5%; 5 uL = +/-1.5%; 10 uL = +/- 1%,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Level 4
1288,100-1000 uL Pipette,FORM,VWR,Signature,742265122,VWR,89079-974,N/A,Yes,100-1000 uL Pipette,Sampling and assays,100-1000 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
1289,10-100 uL Pipette,FORM,VWR,Signature,842740562,VWR,89079-968,N/A,Yes,10-100 uL Pipette,Sampling and assays,10-100 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
1290,10-100 uL Pipette,FORM,VWR,Signature,842740920,VWR,89079-968,N/A,Yes,10-100 uL Pipette,Sampling and assays,10-100 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
1291,2-20 uL Pipette,,VWR,,842732423,VWR,89079-964,,Yes,2-20 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1292,2-20 uL Pipette,FORM,VWR,Signature,842732073,VWR,89079-964,N/A,Yes,2-20 uL Pipette,Sampling and assays,2-20 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
1293,100-1000 uL Pipette,FORM,VWR,Signature,842762554,VWR,89079-974,N/A,Yes,100-1000 uL Pipette,Sampling and assays,100-1000 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require calibration,N/A,N/A,N/A
1294,100-1000 uL Pipette,FORM,VWR,Signature,942760532,VWR,89079-974,N/A,Yes,100-1000 uL Pipette,Sampling and assays,100-1000 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
1295,0.5-10 uL Pipette,FORM,VWR,Signature,842220065,VWR,89079-962,N/A,Yes,0.5-10 uL Pipette,Sampling and assays,0.5-10 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,Yes,Pipettes do not require calibration,N/A,N/A,N/A
1296,Multi-channel Pipette,,VWR,P200,852070008,VWR,,,Yes,Multi-channel Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1297,P20 Pipette,,,P20,842230538,VWR,,,Yes,P20 Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1298,P2 Pipette,,,P2,842210165,VWR,,,Yes,P2 Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1299,P200 Pipette,,,P200,842250025,VWR,,,Yes,P200 Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1300,P1000 Pipette,,,P1000,842260276,VWR,,,Yes,P1000 Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1301,P20 Pipette,,VWR,2-20 uL,942730010,VWR,,,Yes,P20 Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1302,100-1000 uL Pipette,,VWR,100-1000 uL,942760029,VWR,,,Yes,100-1000 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1303,20-200 uL Pipette,,VWR,20-200 uL,942750032,VWR,,,Yes,20-200 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1304,P200 Pipette,,,,3635048,,,,Yes,P200 Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1305,Pipette,AD,Eppendorf,Research,3588378,VWR,N/A,N/A,Yes,Pipette,Measuring volumes of liquids for assays,100-1000 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
1306,Pipette,,Eppendorf,,4272658,,,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1307,Pipette,PD,Eppendorf,,3656148,,,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1308,Pipette,,Eppendorf,,3818448,,,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1309,Pipette,PD,Eppendorf,,4187768,,,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1310,Pipette,,Eppendorf,,4415468,,,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1311,Pipette,AD,Eppendorf,Research,3586888,VWR,N/A,N/A,Yes,Pipette,Measuring volumes of liquid for assays,100-1000 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
1312,Pipette,,Eppendorf,,3714438,,,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1313,Pipette,,Eppendorf,,3816628,,,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1314,Pipette,,Eppendorf,,3637418,,,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1315,Pipette,,Eppendorf,,3829688,,,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1316,0.5-10 ul Pipette,AD,Eppendorf,Research,3716708,VWR,N/A,N/A,Yes,Pipette,Measuring volumes of liquid for assay,0.5-10 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,Pipettes do not require validation,N/A,N/A,N/A
1317,Pipette,,VWR,VE200,842751830,VWR,53508-783,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1318,Pipette,,VWR,VE20,842731422,VWR,53508-783,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1319,Pipette,,VWR,VE10,842720046,VWR,53509-130,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1320,Pipette,,VWR,VE1000,842761504,VWR,53508-918,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1321,Pipette,,VWR,,442230159,,,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1322,Pipette,,VWR,,552232421,,,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1324,20-200 uL Pipette,,Socorex,Acura 825,18041807,N/A,N/A,,Yes,20-200 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1331,0.1-2 uL Pipette,AD,Rainin,SL2,H0729674K,,,,Yes,0.1-2 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1332,20-200 uL Pipette,AD,Rainin,SL200,C0834561K,,,,Yes,20-200 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1333,100-1000 uL Pipette,AD,Rainin,SL1000,C0834315K,,,,Yes,100-1000 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1334,2-20 uL Pipette,AD,Rainin,SL20,C0835568K,,,,Yes,2-20 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1335,100-1000 uL Pipette,,VWR,N/A,842762835,VWR,N/A,,Yes,100-1000 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1336,2-20 uL Pipette,,,,842732060,,,,Yes,2-20 uL Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1337,Pipette,,,,842752159,,,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1338,Pipette,,,,842723105,,,,Yes,Pipette,,,Other,No,No,Yes,,,,Yes,,,,,,No,,,,Level 2
1339,Pressure Gauge,EN,Ashcroft,25-109-SW-D2L-30-psi,N/A,N/A,N/A,N/A,No,Pressure Gauge,Autoclave pressure verification,0 to 30 psi,GMP,No,No,Yes,n/a,+/- 0.5 psi,CAL-12,No,No PM is required for the guage,,FALSE,,,No,,,n/a,
1340,Liquid Nitrogen Level Monitor,QC,Thermo Fisher Scientific,CN509X6,5.09E+11,VWR,55709-804,14714,No,Liquid Nitrogen Level Monitor,To monitor the level of liquid nitrogen in Dewar,n/a,GMP,No,No,No,Level checks are performed daily per SOP GN026,N/A,FALSE,No,There are no movable parts,,FALSE,,,No,,,n/a,
1349,PH/DO Meter,,VWR,SB80PD,D04462,VWR,11388-358,15990,No,PH/DO Meter,Offline secondary verification of pH and dissolved oxygen of cell culture,pH: 4.00 to 10.00; DO: 0.0% to 100.00%,GMP,Yes,No,Yes,n/a,pH 4.00; 7.00; 10.00 +/- 0.05,CAL-6,No,Item does not have any moving parts. Probes are calibrated as part of the unit. Probes and unit are calibrated and standardized on a daily basis prior to use,,FALSE,,,No,,,,Need to determine DO Calibration Procedure and Requirement. Accession Form specifies DO calibration tolerance as +/- 5%DO
1350,Analytical Balance,QC,Sartorius Corporation,CPA124S,24950668,Metrohm,20723439,15566,No,Analytical Balance,Balance will be used with the Karl Fisher apparatus to verify sample size prior to KF analysis and for solution preperations in QC,120g Capacity,GMP,Yes,Yes,Yes,n/a,Eccentricity test: 50g at 5 spots +/- 0.0003g                                                                       Sensitivity: 100g +/- 0.0005g;,CAL-6,Yes,n/a,,PM-6,,,No,,,,
1351,Karl Fisher Oven Sample Processor,QC,Metrohm,874 custom,1874001002186,Metrohm,020816926K,15566,No,Karl Fisher Oven Sample Processor,Use to determine water content of lyo drug product,50°C to 250°C +/-3°C,GMP,No,Yes,Yes,n/a,Calibration of buret for dosing test,CAL-12,Yes,n/a,"Replace PM parts including buret assembly, tubing, buret tip, Teflon cell seals, injection and outlet needle, heated outlet tube, air filter, and molecular sieves. Clean the cell and electrodes thoroughly",PM-12,Yes,Tier 3,No,Unit is already qualified,N/A,TBD,NEW UNIT. Check with manufacturer and QC reqarding calibration and PM details.  Accession Form and Engineering database will be updated to reflect changes.
1352,Karl Fisher Coulometer with Reagent Exchange & Magnetic Stirrer,QC,Metrohm,875 custom,1831001031198,Metrohm,20884986,15566,No,Karl Fisher Coulometer with Reagent Exchange & Magnetic Stirrer,Use to determine water content of lyo drug product,10µg to 1000µg +/-3µg,GMP,No,Yes,Yes,n/a,Calibration of buret for dosing test,CAL-12,Yes,n/a,"Replace PM parts including buret assembly, tubing, buret tip, Teflon cell seals, injection and outlet needle, heated outlet tube, air filter, and molecular sieves. Clean the cell and electrodes thoroughly",PM-12,Yes,Tier 3,No,Unit already qualified,N/A,TBD,NEW UNIT. Check with manufacturer and QC reqarding calibration and PM details.  Accession Form and Engineering database will be updated to reflect changes.
1354,Incubating Orbital Shaker,QC,VWR,5000IR,100615001,VWR,97009-890,17022,No,Incubating Orbital Shaker,Assay (such as pharmakokinetic and anti-drug antibody) development; validation; and sample testing,Temp: 20°C to 37°C; Speed: 100-450 RPM,GMP,No,Yes,Yes,n/a,temp: +/-1°C; time: +/-6 secs; speed: +/-1%,CAL-6,No,No lubrication or other technical user maintenance is required per operator manual.,,FALSE,,,No,,,10017-IOQ-P,associated with 1375.
1355,5' Fume Hood,QC,Kewaunee,Kewaunee 5',237-1,N/A,95-3085,N/A,No,5' Fume Hood,QC reagent preperation and waste storage ,TBD,GMP,No,No,Yes,n/a,velocity test per industry guidelines and/or MFR recommendations,CAL-6,No,n/a,,FALSE,,,No,,,n/a,
1356,Wave 20/50 Bioreactor,,GE Healthcare,2050 EHT,0174.0907.2050EHT.C02,N/A,N/A,N/A,No,Wave 20/50 Bioreactor,To contain and produce conditioned media,CO2: 3%-8%; Temp: 20°C to 40°C; 4° to 8° Angle; 0 to 30 RPM,GMP,No,No,Yes,n/a,temp: +/- 0.5°C; % C02: +/- 0.5%; angle: +/- 0.5°; speed: +/- 1rpm; airflow: +/- .05lpm,CAL-6,Yes,n/a,See checklist attached to original asset accession form.,PM-6,,,No,,,10010-IOQ-R,
1358,VWR Digital Block Dry Heater,QC,VWR,949300,100708006,VWR,12621-084,17808,No,VWR Digital Block Dry Heater,Heat samples to appropriate specify temperature,Ambient +5°C to 120°C,GMP,No,No,No,A calibrated thermometer is used to verify temperature,N/A,FALSE,No,No technical user maintenance is required per manufacturer specifications,,FALSE,,,No,,,n/a,
1363,Temperature/Humidity Data Logger,EN,Dickson,TP125,10140267,VWR,61279-936,17266,Yes,Temperature/Humidity Data Logger,Monitor temperature/humidity,Temp: -10°F to 176°F; -23°C to 80°C; Humidity: 0 to 95%RH,GMP,No,No,Yes,n/a,+/- 2% RH; +/- 0.5°C,CAL-12,No,No PM required for data loggers,,FALSE,,,No,,,n/a,
1364,Temperature/Humidity Data Logger,EN,Dickson,TP126,10140268,VWR,61279-936,17266,Yes,Temperature/Humidity Data Logger,Monitor temperature/humidity,Temp: -23°C to 80°C; Humidity: 0 to 95%RH,GMP,No,No,Yes,n/a,+/- 2% RH; +/- 0.5°C,CAL-12,No,No PM required for data loggers,,FALSE,,,No,,,n/a,
1365,Temperature/Humidity Data Logger,EN,Dickson,TP127,10140269,VWR,61279-936,17266,Yes,Temperature/Humidity Data Logger,Monitor temperature/humidity,Temp: -23°C to 80°C; Humidity: 0 to 95%RH,GMP,No,No,Yes,n/a,+/- 2% RH; +/- 0.5°C,CAL-12,No,No PM required for data loggers,,FALSE,,,No,,,n/a,
1366,Temperature/Humidity Data Logger,EN,Dickson,TP128,10140270,VWR,61279-936,17266,Yes,Temperature/Humidity Data Logger,Monitor temperature/humidity,Temp: -23°C to 80°C; Humidity: 0 to 95%RH,GMP,No,No,Yes,n/a,+/- 2% RH; +/- 0.5°C,CAL-12,No,No PM required for data loggers,,FALSE,,,No,,,n/a,
1367,GTI Minimatcher Series MM-2e Color Matching,QC,GTI Graphic Technology,MM-2e,5909,GTI Graphic Technology,MM-2e,14901,No,GTI Minimatcher Series MM-2e Color Matching,This asset is used to evaluate sample color and appearance in TM004,n/a,GMP,No,Yes,No,Light intensity checks are done on the days of use,N/A,FALSE,Yes,n/a,,PM-12,,,No,,,n/a,Light intensity checks are done on the days of use
1374,Temperature Recorder,BD,Dickson,KT625,10264076,Dickson,KT625,18225,No,Temperature Recorder,Assay development & sample analysis,20°C to 37°C,Other,No,No,Yes,n/a,,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,Associated with 832
1375,Temperature Recorder,QC,Dickson,KT625,10264080,Dickson,KT625,18225,No,Temperature Recorder,Assay development and Sample Analysis,34°C to 40°C,GMP,No,No,Yes,n/a,,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,Associated with 1354
1386,,PD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388,Balance,PD,Mettler-Toledo; Inc.,XS1003S,B047088711,Mettler-Toledo; Inc.,XS1003S,18591,No,Balance,Measuring weight,1mg to 1010g,GMP,No,No,Yes,n/a,,CAL-6,Yes,n/a,,PM-6,,,No,,,n/a,
1389,Thermometer,PD,,,,,,,Yes,Thermometer,,,,No,No,,,,,,,,,,,,,,,
1393,Thermometer,PD,,,,,,,Yes,Thermometer,,,,No,No,,,,,,,,,,,,,,,
1397,pipette,BD,Thermo Fisher Scientific,Finn F1,GJ09677,Fisher Scientific,14386354TI,15955,Yes,pipette,Assay development and GLP sample analysis,5µL to 50µL,Other,No,No,Yes,n/a,5uL +/-5% ; 50uL +/- 1.5%,CAL-12,Yes,n/a,,PM-12,,,No,,,n/a,
1398,pipette,BD,Thermo Fisher Scientific,Finn F2,GJ09678,Fisher Scientific,14386354TI,15956,Yes,pipette,Assay development and GLP sample analysis,5µL to 50µL,Other,No,No,Yes,n/a,5uL +/-5% ; 50uL +/-1.5%,CAL-13,Yes,n/a,,PM-13,,,No,,,n/a,
1399,pipette,BD,Thermo Fisher Scientific,Finn F3,GJ09679,Fissher Scientific,14386354TI,15957,Yes,pipette,Assay development and GLP sample analysis,5µL to 50µL,Other,No,No,Yes,n/a,5uL +/-5% ; 50uL +/-1.5%,CAL-14,Yes,n/a,,PM-14,,,No,,,n/a,
1400,Pipette,BD,Thermo Fisher Scientific,Finn F4,GJ09680,Fisher Scientific,14386354TI,15958,Yes,Pipette,Assay development and GLP sample analysis,5µL to 50µL,Other,No,No,Yes,n/a,5uL +/-5% ; 50uL +/-1.5%,CAL-15,Yes,n/a,,PM-15,,,No,,,n/a,
1401,pipette,BD,Thermo Fisher Scientific,Finn F5,GJ09681,Fisher Scientific,14386354TI,15959,Yes,pipette,Assay development and GLP sample analysis,5µL to 50µL,Other,No,No,Yes,n/a,5uL +/-5% ; 50uL +/-1.5%,CAL-16,Yes,n/a,,PM-16,,,No,,,n/a,
1402,Pipette,BD,Thermo Fisher Scientific,Finn F6,GJ09682,Fisher Scientific,14386356TI,15960,Yes,Pipette,Assay development and GLP sample analysis,30µL to 300µL,Other,No,No,Yes,n/a,30uL +/-1.5% ; 300uL +/-3.0%,CAL-17,Yes,n/a,,PM-17,,,No,,,n/a,
1403,Pipette,BD,Thermo Fisher Scientific,Finn F1,GJ00203,Fisher Scientific,14386356TI,15961,Yes,Pipette,Assay development and GLP Sample analysis,30µL to 300µL,Other,No,No,Yes,n/a,30uL +/-5% ; 300uL +/-1.0%,CAL-18,Yes,n/a,,PM-18,,,No,,,n/a,
1404,pipette,BD,Thermo Fisher Scientific,Finn F2,GJ00204,Fisher Scientific,14386356TI,15962,Yes,pipette,Assay development and GLP Sample analysis,30µL to 300µL,Other,No,No,Yes,n/a,30uL +/-1.5 ; 300uL +/-3.0,CAL-19,Yes,n/a,,PM-19,,,No,,,n/a,
1405,pipette,BD,Thermo Fisher Scientific,Finn F3,GJ00205,Fisher Scientific,14386356TI,15963,Yes,pipette,Assay development and GLP Sample analysis,30µL to 300µL,Other,No,No,Yes,n/a,30uL +/-1.5 ; 300uL +/-3.0,CAL-20,Yes,n/a,,PM-20,,,No,,,n/a,
1406,pipette,BD,Thermo Fisher Scientific,Finn F4,GJ00206,Fisher Scientific,14386356TI,15964,Yes,pipette,Assay development and GLP Sample analysis,30µL to 300µL,Other,No,No,Yes,n/a,30uL +/-5% ; 50uL +/-1.0%,CAL-21,Yes,n/a,,PM-21,,,No,,,n/a,
1426,37C Incubator; 5% CO2,QC,VWR,3074,313330-333,VWR,98000-358,N/A,No,37C Incubator; 5% CO2,To house growing cells; incubate cells for QC Assays,35°C to 38°C; 5% CO2 +/- 1,GMP,No,Yes,Yes,n/a,37.0 +/- 0.5%; 5.0 +/- 0.5% CO2,CAL-6,Yes,n/a,,PM-6,,,No,,,11006-IOQ-R,`
1427,37C Incubator; 5% CO2,QC,VWR,3075,313330-334,VWR,98000-358,N/A,No,37C Incubator; 5% CO2,To house growing cells; incubate cells for QC Assays,35°C to 38°C; 5% CO2 +/- 2,GMP,No,Yes,Yes,n/a,37.0 +/- 0.5%; 5.0 +/- 0.5% CO2,CAL-6,Yes,n/a,,PM-6,,,No,,,12001-IOQ-R,
1433,Tabletop Inspection Hood,QC,Eisai Machinery,MIH-DX,EMU-0334,Eisai Machinery,MIH-DX,19389,No,Tabletop Inspection Hood,To determine the degree of opalescence of liquids,480-500 Foot Candles,GMP,Yes,Yes,No,n/a,N/A,FALSE,No,No moving parts,,FALSE,,,No,,,n/a,
