,asset_number,title,department,manufacturer,manufacturer_model_number,manufacturer_serial_number,vendor,vendor_catalog_number,purchase_order_number,portable,asset_description,intended_use,process_range,classification,new_SOP,new_logbooks,calibration_required,calibration_justification_no,calibration_description,calibration_frequency,maintenance_required,maintenance_justification_no,maintenance_description,maintenance_frequency,scan_attached,scan_file,tier_level,qual_val_needed,validation_justification_no,validation_description,protocol_number,comments
865,1153,Pipette 20-200 ul,BD,Biohit,725240,9027756,VWR,47745-548,13145,Yes,Pipette 20-200 ul,Develop; qualify; and validate assays; Sample Analysis,20µl to 200µl,Other,No,No,Yes,N/A,20 ul = +/- 2%; 100 ul = +/- 0.8%; 200 ul = +/- 0.6%,CAL-15,Yes,N/A,TBD,PM-15,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
866,1154,Pipette 2-20 ul,BD,Biohit,725240,9027756,VWR,47745-545,13146,Yes,Pipette 2-20 ul,Develop; qualify; and validate assays; Sample Analysis,2µl to 20µl,Other,No,No,Yes,N/A,2 ul = +/- 3%; 10 ul = +/- 1.2%; 20 ul = +/- 0.9%,CAL-16,Yes,N/A,TBD,PM-16,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
867,1155,Pipette 2-20 ul,BD,Biohit,725030,8535247,VWR,725030,13142,Yes,Pipette 2-20 ul,Bioanalysis development and GLP assays,2µl to 20µl,Other,No,No,Yes,N/A,2 ul = +/- 3%; 10 ul = +/- 1.2%; 20 ul = +/- 0.9%,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
868,1156,Pipette 20-200 ul,BD,Biohit,725060,9027531,VWR,MP725060RC,13142,Yes,Pipette 20-200 ul,Bioanalytical development and GLP passays,20µl to 200µl,Other,No,No,Yes,N/A,20 ul = +/- 2%; 100 ul = +/- 0.8%; 200 ul = +/- 0.6%,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
869,1157,Pipette 100-1000 ul,BD,Biohit,725060,9027531,VWR,MP725070RC,13143,Yes,Pipette 100-1000 ul,Bioanalytical development and GLP passays,100µl to 1000µl,Other,No,No,Yes,N/A,100 ul = +/- 1.5%; 500 ul = +/- 0.7%; 1000 ul = +/- 0.6%,CAL-13,Yes,N/A,TBD,PM-13,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
870,1158,Pipette 5-100 ul,BD,Biohit,725060,9027531,VWR,MP725230RC,13142,Yes,Pipette 5-100 ul,Bioanalytical development and GLP passays,5µl to 100µl,Other,No,No,Yes,N/A,10 ul = +/- 3%; 100 ul = +/- 0.7%,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
871,1159,Pipette 30-300 ul,BD,Biohit,725060,9027531,VWR,MP725240RC,13142,Yes,Pipette 30-300 ul,Bioanalytical development and GLP passays,30µl to 300µl,Other,No,No,Yes,N/A,30 ul = +/- 2%; 300 ul = +/- 0.6%,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
872,1161,Pipette 200 ul,QC,Rainin,L-200,E0908655A,Rainin,L-200,13327,Yes,Pipette 200 ul,To measure liquids,20µL to 200µL,GMP,No,No,Yes,N/A,20 ul = +/- 2.5%; 100 & 200 ul = +/- 0.8%,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
873,1162,Pipette 20 ul,QC,Rainin,L-20,E0908749A,Rainin,L-20,13327,Yes,Pipette 20 ul,To measure liquids,2µL to 20µL,GMP,No,No,Yes,N/A,2 ul = +/- 7.5%; 10 ul = +/- 1.5%; 20 ul = +/- 1%,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
874,1163,Pipette 100 ul,QC,Rainin,L-100,K0853017A,Rainin,L-100,13327,Yes,Pipette 100 ul,To measure liquids for test methods,10µL to 100µL,GMP,No,No,Yes,N/A,10 ul = +/- 3.5%; 50 & 100 ul = +/- 0.8%,CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
875,1164,Pipette 100 ul,QC,Rainin,L-101,K0853130A,Rainin,L-100,13327,Yes,Pipette 100 ul,To measure liquids for test methods,10µL to 100µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,1164_K0853130A Pipette_22Jan18.pdf,Tier 4,No,N/A,N/A,N/A,N/A
876,1165,Pipette 100 ul,QC,Rainin,L-102,K0853072A,Rainin,L-100,13327,Yes,Pipette 100 ul,To measure liquids for test methods,10µL to 100µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,1165_K0853072A Pipette_23Jan18.pdf,Tier 4,No,N/A,N/A,N/A,Level 4
877,1166,Pipette 1000 ul,QC,Rainin,L-103,D0995073A,Rainin,L-1000,13327,Yes,Pipette 1000 ul,To measure liquids for test methods,100µL to 1000µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,1166_D0995073A Pipette_22Jan18.pdf,Tier 4,No,N/A,N/A,N/A,N/A
878,1167,Pipette 100 ul,QC,Rainin,L-104,K0853116A,Rainin,L-100,13327,Yes,Pipette 100 ul,To measure liquids for test methods,100µL to 1000µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,1167_K0853116A Pipette_22Jan18.pdf,Tier 4,No,N/A,N/A,N/A,N/A
879,1168,Pipette 10 ul,QC,Rainin,L-105,D0993997A,Rainin,L-10,13327,Yes,Pipette 10 ul,To measure liquids for test methods,1µL to 10µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,1168_D0993997A Pipette_23Jan18.pdf,Tier 4,No,N/A,N/A,N/A,N/A
880,1169,Pipette 100 ul,QC,Rainin,L-106,D0993075A,Rainin,L-100,13327,Yes,Pipette 100 ul,To measure liquids for test methods,10µL to 100µL,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,1169_D0993075A Pipette_23Jan18.pdf,Tier 4,No,N/A,N/A,N/A,N/A
881,1170,Pipette 2-20 ul,BD,Biohit,725060,9027531,VWR,MP725030RC,13143,Yes,Pipette 2-20 ul,Bioanalytical development and GLP assays,2µl to 20µl,Other,No,No,Yes,N/A,2 ul = +/- 3%; 10 ul = +/- 1.2%; 20 ul = +/- 0.9%,CAL-13,Yes,N/A,TBD,PM-13,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
882,1171,Pipette 20-200 ul,BD,Biohit,725060,9027532,VWR,MP725060RC,13142,Yes,Pipette 20-200 ul,Development; validation of bioanalytical assays (such as PK and ADA) and sample testing,20µl to 200µl,Other,No,No,Yes,N/A,20 ul = +/- 2%; 100 ul = +/- 0.8%; 200 ul = +/- 0.6%,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
883,1172,Pipette 100-1000 ul,BD,Biohit,725070,9027369,VWR,MP725070RC,13142,Yes,Pipette 100-1000 ul,Bioanalytical development and GLP assays,100µL to 1000µL,Other,No,No,Yes,N/A,100 ul = +/- 1.5%; 500 ul = +/- 0.7%; 1000 ul = +/- 0.6%,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
884,1173,HPLC,QC,Agilent Technologies,1100 Series,DE14901543,Agilent,N/A,N/A,No,HPLC,To asses the % Purity (monomer) of in-process; Drug-Substance; Drug-Product and stability samples,N/A,GMP,No,Yes,No,N/A,N/A,N/A,Yes,N/A,Agilent's contractual maintenance,PM-12,No (Calibration/Maintenance Not Required),,Tier 1,Yes,TBD,N/A,10012-IOQ-P,Unit is requalified annually. Qual & PM documentation is filed in QA vault. See 10015-IOQ package.
885,1174,HPLC,QC,Agilent Technologies,1100 Series,DE40502661,Agilent,N/A,N/A,No,HPLC,To asses the % Purity (monomer) of in-process; Drug-Substance; Drug-Product and stability samples,N/A,GMP,No,Yes,No,N/A,N/A,N/A,Yes,N/A,Agilent's contractual maintenance,PM-12,No (Calibration/Maintenance Not Required),,Tier 1,Yes,TBD,N/A,10013-IOQ-P,Unit is requalified annually. Qual & PM documentation is filed in QA vault. See 10016-IOQ package.
886,1175,Pipette 100-1000 uL,PD,VWR,Signature,442285840,VWR,N/A,N/A,Yes,Pipette 100-1000 uL,To measure small amounts of liquid for development processes,100-1000 ul,GMP,No,No,Yes,N/A,Level 4 calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,1175_442285840 Pipette_27Jan18.pdf,Tier 4,No,N/A,N/A,N/A,N/A
887,1176,20-200 ul Pipette,TBD,VWR,TBD,842750534,N/A,N/A,N/A,Yes,20-200 ul Pipette,TBD,TBD,Other,No,No,Yes,N/A,TBD,TBD,Yes,N/A,TBD,TBD,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 2
888,1177,Hot Lips II Tube Sealer,TBD,GE Healthcare,HTLS-II,1446529,GE Healthcare,28-9486-49,13526,No,Hot Lips II Tube Sealer,The tube sealer will be used by MFG group and the QC group to seal C-Flex tubing during the MFG process and during QC sampling of the buffers,C-Flex (374); 1/8ID x 1/4OD; 1/4ID x 7/16OD; 3/8ID x 5/8OD,GMP,No,No,Yes,N/A,Jaw mechanism requires an adjustment check.  Temp.: 0.0; 75.0; 150.0; 225.0 +/- 2.0ºC,CAL-6,Yes,N/A,Cleaning and inspection of retention pads and PTFE jaw covers.  Inspect the pads and jaw covers for any wear; tear or crack.  Replace as needed.,PM-6,No (Calibration/Maintenance Not Required),,Tier 1,Yes,TBD,N/A,09064-IOQ,Upon review of recent service and discussion with technician; it was observed that PM checks not documented on the sheets.
889,1178,Bio-Rad Power Supply,TBD,Biorad,powerpac basic,041BR70278,Biorad,164-5050,N/A,No,Bio-Rad Power Supply,TBD,TBD,Other,No,No,Yes,N/A,TBD,TBD,Yes,N/A,TBD,TBD,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
890,1179,Standard Analog Shaker 3600,TBD,VWR,3600 STD,980301,VWR,89032-092,N/A,Yes,Standard Analog Shaker 3600,TBD,TBD,Other,No,No,Yes,N/A,TBD,TBD,Yes,N/A,TBD,TBD,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
891,1183,250L Hyclone Single Use Bioreactor,TBD,VWR,N/A,442265840,Hyclone,SV50172.03,N/A,No,250L Hyclone Single Use Bioreactor,Used in the mixing and chilling of in-process material,N/A,Other,Yes,Yes,Yes,N/A,TBD,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Cal/PM TBD
892,1184,UV Cell 8MM Peek,TBD,GE Healthcare,3010771,3245,GE Healthcare,11003532,13366,No,UV Cell 8MM Peek,Used with the monitor Uvis-920 in the detection of UV/Vis absorbance,N/A,GMP,No,No,No,UV cells do not require calibration,N/A,N/A,No,Does not require PM,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
893,1185,UV Cell 8MM Peek,TBD,GE Healthcare,3010771,3245,GE Healthcare,11003532,13366,No,UV Cell 8MM Peek,Used with the monitor Uvis-920 in the detection of UV/Vis absorbance,N/A,GMP,No,No,No,UV cells do not require calibration,N/A,N/A,No,Does not require PM,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
894,1186,UV Cell 8MM Peek,TBD,GE Healthcare,3010771,3245,GE Healthcare,11003532,13366,No,UV Cell 8MM Peek,Used with the monitor Uvis-920 in the detection of UV/Vis absorbance,N/A,GMP,No,No,No,UV cells do not require calibration,N/A,N/A,No,Does not require PM,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
895,1187,UV Cell 8MM Peek,TBD,GE Healthcare,3010771,3245,GE Healthcare,11003532,13366,No,UV Cell 8MM Peek,Used with the monitor Uvis-920 in the detection of UV/Vis absorbance,N/A,GMP,No,No,No,UV cells do not require calibration,N/A,N/A,No,Does not require PM,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
896,1188,UV Cell 8MM Peek,TBD,GE Healthcare,3010771,3245,GE Healthcare,11003532,13366,No,UV Cell 8MM Peek,Used with the monitor Uvis-920 in the detection of UV/Vis absorbance,N/A,GMP,No,No,No,Calibration is not applicable,N/A,N/A,No,Does not require PM,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
897,1189,UV Cell 8MM Peek,TBD,GE Healthcare,3010771,3245,GE Healthcare,11003532,13366,No,UV Cell 8MM Peek,Used with the monitor Uvis-920 in the detection of UV/Vis absorbance,N/A,GMP,No,No,No,Calibration is not applicable,N/A,N/A,No,Does not require PM,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
898,1190,UV Cell 8MM Peek,TBD,GE Healthcare,3010771,3245,GE Healthcare,11003532,13366,No,UV Cell 8MM Peek,Used with the monitor Uvis-920 in the detection of UV/Vis absorbance,N/A,GMP,No,No,No,Calibration is not applicable,N/A,N/A,No,Does not require PM,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
899,1191,O2 Sensor Simulator,TBD,Mettler-Toledo; Inc.,52 200 891,N/A,Mettler-Toledo; Inc.,N/A,13681,No,O2 Sensor Simulator,It uses to perform DO calibration,N/A,GMP,No,No,No,No calibration required specified,N/A,N/A,No,Does not require PM,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,No calibration requirements specified by manufacturer - Mettler Toledo
900,1192,O2 Sensor Simulator,PD,Mettler-Toledo; Inc.,53 200 891,N/A,Mettler-Toledo; Inc.,N/A,13681,No,O2 Sensor Simulator,It uses to perform DO calibration,N/A,GMP,No,No,No,No calibration required specified by manufacturer,N/A,N/A,No,Does not require PM,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,No calibration requirements specified by manufacturer - Mettler Toledo
901,1193,Pipette 2-20 ul,BD,Biohit,M20,9027870,VWR,47745-545,13816,Yes,Pipette 2-20 ul,GLP pre-clinical; and clinical assay development and smaple testing,2µl to 20µl,Other,No,No,Yes,N/A,2 uL = +/- 3%; 10 uL = +/- 1.2%; 20 uL = +/- 0.9%,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
902,1194,Multi-Channel Pipette 5-100 ul,BD,Biohit,M21,9027871,VWR,47745-562,13817,Yes,Multi-Channel Pipette 5-100 ul,GLP pre-clinical; and clinical assay development and smaple testing,5µl to 100µl,Other,No,No,Yes,N/A,10 uL = +/- 3%; 100 uL = +/- 0.7%,CAL-13,Yes,N/A,TBD,PM-13,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
903,1195,Multi-Channel Pipette 30-300 ul,BD,Biohit,M300,9042807,VWR,47745-564,13816,Yes,Multi-Channel Pipette 30-300 ul,GLP pre-clinical; and clinical assay development and smaple testing,30µL to 300µL,Other,No,No,Yes,N/A,30 uL = +/- 2%; 300 uL = +/- 0.6%,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
904,1197,Palltronic Flow Star II Integrity Tester,TBD,Pall Life Sciences,FFS02HAM,16390426,Chisholm,FFS02HAM,11808,No,Palltronic Flow Star II Integrity Tester,The Palltronic Flowstar will be used to integrity test (post-vse) filters that are used to manufacture Acceleron's products,N/A,GMP,No,No,Yes,N/A,Pressure: 50 to 6000 +/- 20 mBar for Pressure Transducer P0 and P1; Flow: Check at ~ 8 ml/min; 90 ml/min and 990 ml/min +/- 3% of reading,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
905,1198,Dry Bath,TBD,VWR,Dry block heater standard,090202-104,VWR,12621-104,N/A,No,Dry Bath,TBD,TBD,Other,No,No,Yes,N/A,TBD,TBD,Yes,N/A,TBD,TBD,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
906,1199,Power Supply,TBD,Thermo Fisher Scientific,FB3000,1.59E+12,Thermo Fisher Scientific,FB3000Q,N/A,No,Power Supply,TBD,TBD,Other,No,No,Yes,N/A,TBD,TBD,Yes,N/A,TBD,TBD,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
907,1200,Stirrer Plate,PD,VWR,VWR 600 Series,90528003,VWR,12365-386,N/A,Yes,Stirrer Plate,TBD,TBD,Other,No,No,Yes,N/A,TBD,TBD,Yes,N/A,TBD,TBD,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
908,1202,Pipette 50-300 ul,TBD,Biohit,N/A,6090767,VWR,N/A,N/A,Yes,Pipette 50-300 ul,TBD,N/A,Other,No,No,Yes,N/A,TBD,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 2
909,1203,Pipette 20-200 ul,TBD,VWR,N/A,442250439,VWR,N/A,N/A,Yes,Pipette 20-200 ul,TBD,N/A,Other,No,No,Yes,N/A,TBD,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 2
910,1204,Hach Turbidimeter,EN,Hach,2100P,30700031868,N/A,N/A,N/A,Yes,Hach Turbidimeter,Measure turbidity,N/A,Other,No,No,Yes,N/A,Per MFR Spec,CAL-12,No,N/A,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
911,1205,VWR Pressure Meter,EN,VWR,N/A,80230667,N/A,N/A,N/A,Yes,VWR Pressure Meter,Measures pressure,N/A,GMP,No,No,Yes,N/A,+/-0.3 0-28psi,FALSE,No,Does not require PM,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
912,1206,Pipette 20-200 ul,TBD,Eppendorf,3111,2165218,VWR,53513-408,11985,Yes,Pipette 20-200 ul,Development-scale analysis of protein samples for assay development and process development,20µl to 200µl,Other,No,No,Yes,N/A,TBD,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 2
913,1207,Pipette 20-200 ul,AD,Eppendorf,3111,4994238,VWR,53513-408,11985,Yes,Pipette 20-200 ul,Development-scale analysis of protein samples for assay development and process development,20µl to 200µl,Other,No,No,Yes,N/A,Level 4 calibration.,CAL-6,Yes,N/A,Level 4 PM,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,N/A,N/A,Level 4
914,1208,BSC,PD,The Baker Company,SG603A-HE,96027,N/A,N/A,N/A,No,BSC,To maintain a sterile environment for the manipulation of process development protein samples,N/A,Other,No,No,Yes,N/A,TBD,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
915,1209,Chart Recorder,PD,Amersham BioScience,REC 111,REC111000245,N/A,N/A,N/A,No,Chart Recorder,Record the absorbance of column outflow during protein purification,N/A,Other,No,No,No,TBD,N/A,N/A,No,TBD,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Stand alone
916,1210,Capillary Electrophoresis System,QC,Beckman Coulter,PA800 PLUS,A746030023,Beckman Coulter,N/A,13073,No,Capillary Electrophoresis System,To analyze and assess the quality of in-process; intermediate or final product; through protein seperation via capillary electrophoretic methods,N/A,GMP,Yes,No,Yes,N/A,Per MFR Spec,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 1,Yes,TBD,N/A,09062-IOQ,N/A
917,1211,Centrifuge,QC,Beckman Coulter,J6-MC,NJF95H02,Altus Lab Equipment,360281,13160,No,Centrifuge,To spin down bacteria for DNA prep,100-6000rpm; -20°C to 40°C,GMP,Yes,No,Yes,N/A,1000 & 4000 RPM +/- 20 RPM; 4°C +/- 2°C; Time: 5 min +/- 0.1 min (6 seconds),CAL-6,Yes,N/A,TBD,PM-6,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,09065-IOQ,N/A
918,1212,Microwave Oven,QC,Sharp,R-230KK,120607,Amazon,R-230KK,N/A,No,Microwave Oven,To heat media for DNA prep,N/A,GMP,No,No,No,The  microwave oven does not require calibration,N/A,N/A,No,Does not require PM,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,N/A
919,1213,12-Channel Pipette 30-300 ul,BD,Biohit,725240,9042839,VWR,47745-564,14177,Yes,12-Channel Pipette 30-300 ul,Development/Sample Testing (GLP),See attached ,Other,No,No,Yes,N/A,30 uL = +/- 2%; 300 uL = +/- 0.6%,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
920,1214,12-Channel Pipette 30-300 ul,BD,Biohit,725240,9042839,VWR,47745-564,14177,Yes,12-Channel Pipette 30-300 ul,Development/Sample Testing (GLP),See attached ,Other,No,No,Yes,N/A,30 uL = +/- 2%; 300 uL = +/- 0.6%,CAL-12,Yes,N/A,TBD,PM-12,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Level 4
921,1215,Electroporation Apparatus,QC,Biorad,Micro Pulser,411BR6675,Biorad,1652100,14288,Yes,Electroporation Apparatus,To deliver DNA to E.Coli cells in the ECL mode,1.8 KV,GMP,Yes,No,Yes,N/A,1.8kv +/- 0.03kv,FALSE,Yes,N/A,TBD,FALSE,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,09067-IOQ,New unit; Mfr will not provide PM procedure for proprietery reasons but we will receive all PM check list once unit is sent for first PM
922,1216,Masterflex LDF Pump,TBD,Lesser/Thermo,200-1931,G08003058,Spectrum Labs,200-1931,11107,No,Masterflex LDF Pump,Used to pump drug intermediates and media to and from single use Bioreactors,0 to 19 Lpm,GMP,Yes,Yes,Yes,N/A,15 lpm +/- 10%; 30 lpm +/- 10% (per mfg spec),CAL-12,No,N/A,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,N/A,Previously Alert's Service Sheet was used as PM Sheet. However upon review; it was realized that there isn't any PM involved with this unit and hence 'No PM' has been marked.
923,1217,Spectrum Pump,TBD,Watson Marlow,323E/D,F101269,Watson Marlow,323E/D,N/A,Yes,Spectrum Pump,To pump media and other additions to cell cultures in disposable Bioreactors through tubing,0-400rpm,GMP,No,Yes,Yes,N/A,Pump rotation:100 +/- 5 rpm,CAL-6,No,N/A,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 4,No,N/A,TBD,N/A,Previously Alert's Service Sheet was used as PM Sheet. However upon review; it was realized that there isn't any PM involved with this unit and hence 'No PM' has been marked.
924,1218,Incubating Orbital Shaker,QC,VWR,N/A,90821005,VWR,12620-946,14240,No,Incubating Orbital Shaker,To assist in preperation of DNA for reporter gene assay,35 to 38°C       225 rpm +/- 5 rpm,GMP,Yes,No,Yes,N/A,37°C +/- 1°C; 225 RPM +/- 3 RPM,CAL-6,No,No regularyly scheduled PM is required for this unit per the user manual,N/A,N/A,No (Calibration/Maintenance Not Required),,Tier 3,No,N/A,TBD,09066-IOQ,Previously Alerts service sht was used as PM sht. Upon review it was realized that there isn't any PM involved with this unit & hence NO PM has been marked.
